Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  11.03.2008;117,89;118,00;117,21;117,39;1.516.609
  12.03.2008;117,55;117,83;117,09;117,71;1.330.538
  13.03.2008;117,90;118,12;117,50;117,66;1.275.587
  14.03.2008;117,74;118,20;117,25;117,83;1.576.681
  17.03.2008;118,24;118,48;118,00;118,19;1.253.067
  18.03.2008;118,15;118,18;117,35;117,35;1.127.835
  19.03.2008;117,59;118,06;117,26;117,86;1.373.395
  20.03.2008;117,86;117,90;117,35;117,50;814.652
  25.03.2008;117,01;117,02;116,12;116,19;1.128.349
  26.03.2008;116,24;116,47;115,92;116,10;1.159.238
  27.03.2008;116,04;116,06;115,58;115,80;1.088.806
  28.03.2008;115,61;115,93;113,93;115,81;902.899
  31.03.2008;115,81;116,12;115,68;115,96;935.709
  01.04.2008;115,94;116,03;115,13;115,34;1.147.002
  02.04.2008;115,22;115,51;115,04;115,36;1.074.602
  03.04.2008;115,23;115,47;115,09;115,25;910.247
  04.04.2008;115,19;115,77;115,17;115,50;900.805
  07.04.2008;115,28;115,34;114,84;115,00;678.811
  08.04.2008;115,07;115,28;114,88;114,93;751.606
  09.04.2008;114,96;115,39;114,67;115,25;969.792
  10.04.2008;115,30;115,72;115,14;115,28;941.985
  11.04.2008;115,14;116,04;115,08;115,95;968.348
  14.04.2008;115,96;116,13;115,74;115,86;923.451
  15.04.2008;115,86;116,06;115,32;115,39;1.142.819
  16.04.2008;115,32;115,43;114,77;114,86;1.104.761
  17.04.2008;114,86;114,92;114,24;114,44;1.253.257
  18.04.2008;114,42;114,50;113,63;114,24;1.110.874
  21.04.2008;114,01;114,32;113,90;114,15;869.776
  23.04.2008;113,96;114,09;113,80;113,90;954.447
  24.04.2008;113,84;114,46;113,48;113,50;1.269.878
  25.04.2008;113,45;113,84;113,10;113,51;840.968
  28.04.2008;113,49;113,75;113,34;113,52;647.370
  29.04.2008;113,49;114,10;113,42;113,93;860.959
  30.04.2008;113,83;114,17;113,83;114,15;891.799
  02.05.2008;114,03;114,32;113,28;113,48;931.915
  05.05.2008;113,55;113,88;113,51;113,70;342.986
  06.05.2008;113,66;114,18;113,56;113,70;902.123
  07.05.2008;113,60;113,85;113,45;113,85;797.886
  08.05.2008;113,88;114,73;113,78;114,65;1.148.220
  09.05.2008;114,69;115,29;114,51;115,07;1.126.956
  12.05.2008;115,09;115,20;114,78;114,91;587.797
  13.05.2008;114,84;115,21;114,10;114,21;1.307.684
  14.05.2008;114,12;114,18;113,48;113,67;1.132.815
  15.05.2008;113,63;113,68;112,81;113,56;1.326.920
  16.05.2008;113,40;113,68;113,14;113,46;877.179
  19.05.2008;113,50;113,78;113,13;113,42;666.135
  20.05.2008;113,36;113,69;113,26;113,54;760.098
  21.05.2008;113,66;113,71;112,86;113,02;1.090.118
  22.05.2008;112,98;113,13;112,64;112,73;858.499
  23.05.2008;112,66;113,29;112,53;112,93;873.133
  26.05.2008;113,01;113,02;112,70;112,70;90.745
  27.05.2008;112,68;113,01;112,53;112,63;787.038
  28.05.2008;112,63;112,66;112,22;112,25;945.771
  29.05.2008;112,15;112,24;111,49;111,70;1.256.187
  30.05.2008;111,78;112,15;111,68;111,76;1.006.434
  02.06.2008;111,76;112,48;111,71;112,37;1.118.814
  03.06.2008;112,45;112,67;111,57;112,06;1.948.932
  04.06.2008;112,05;112,33;111,86;111,88;1.621.428
  05.06.2008;111,84;111,93;111,19;111,30;741.700
  06.06.2008;111,23;111,72;111,23;111,66;37.128
  09.06.2008;112,00;113,29;111,20;111,42;1.694.449
  10.06.2008;111,18;111,42;110,78;110,80;1.038.457
  11.06.2008;110,76;111,32;110,52;110,69;1.217.943
  12.06.2008;110,72;110,85;110,22;110,22;994.397
  13.06.2008;110,30;110,48;109,80;109,86;1.115.005
  16.06.2008;110,00;110,37;109,80;110,05;729.340
  17.06.2008;110,26;110,47;110,09;110,36;798.439
  18.06.2008;110,28;110,50;110,19;110,35;660.860
  19.06.2008;110,33;110,74;109,65;109,74;1.143.850
  20.06.2008;109,93;110,42;109,85;110,07;675.014
  23.06.2008;110,11;110,70;110,10;110,29;661.877
  24.06.2008;110,30;110,76;110,11;110,51;820.865
  25.06.2008;110,48;110,60;110,23;110,53;656.429
  26.06.2008;110,57;111,45;110,43;111,40;1.004.980
  27.06.2008;111,40;111,54;111,06;111,23;935.228
  30.06.2008;111,33;111,35;110,04;110,54;1.111.644
  01.07.2008;110,45;111,32;110,29;110,42;1.130.450
  02.07.2008;110,53;110,53;109,86;110,25;1.015.292
  03.07.2008;110,17;111,20;109,87;111,14;1.184.246
  04.07.2008;111,19;112,32;110,90;111,54;380.057
  07.07.2008;111,45;112,36;111,42;112,05;812.944
  08.07.2008;112,20;112,44;111,84;112,15;957.900
  09.07.2008;112,06;112,47;111,66;112,47;871.380
  10.07.2008;112,43;112,43;111,94;112,21;813.970
  11.07.2008;112,02;112,57;111,56;111,73;1.097.273
  14.07.2008;111,62;112,40;111,57;112,37;749.026
  15.07.2008;112,39;112,88;112,24;112,31;1.011.418
  16.07.2008;112,36;112,76;112,12;112,17;886.379
  17.07.2008;112,15;112,18;111,58;111,64;858.500
  18.07.2008;111,81;111,91;110,60;110,68;1.079.246
  21.07.2008;110,75;110,95;110,14;110,31;773.157
  22.07.2008;110,32;110,64;110,04;110,08;752.757
